"12/18/2021, 3:39:02 PM",kills,characterName,playerName,assists,teamPlacement,damageDealt,teamNum,teamName,survivalTime
,0,ash,YaBoyZiggy,0,7,523,3,Deathbox Hunters,1052
,0,valkyrie,DeepRum,0,10,206,20,Tufts Esports,657
,0,ash,CrohnieWeDeserve,0,13,92,5,Team We Need,208
,8,gibraltar,TSin_zXEVOXz,3,1,2110,9,TwistedSin,1250
,0,gibraltar,Rob_Pitkin,0,10,235,20,Tufts Esports,656
,3,wraith,TSin LUX1CSN,6,1,1219,9,TwistedSin,1250
,0,valkyrie,Dontreadthis,0,2,599,12,Age Difference,1249
,0,wraith,@themokad on twitter,0,13,298,5,Team We Need,207
,2,bloodhound,TSin_PersuasiveX,5,1,997,9,TwistedSin,1250
,0,bloodhound,SllentPsychosis,0,8,14,4,The Straw Hats,283
,0,bloodhound,TheGreatBlaine,2,6,660,13,Fart,1076
,1,ash,P1 Kaede,0,11,200,6,,594
,0,gibraltar,UND Kyro,1,11,580,6,,594
,0,caustic,Uncaringlion917,0,8,172,4,The Straw Hats,394
,0,gibraltar,RippTheThird,0,13,15,5,Team We Need,208
,0,valkyrie,Eliteslayer998,0,8,28,4,The Straw Hats,1029
,0,ash,Adrostus,1,4,1318,7,FANMANS,1191
,0,gibraltar,chiknnuggey,1,6,468,13,Fart,1064
,1,revenant,TTV_BestPupperNA,9,5,1370,10,,1096
,0,valkyrie,Trevstacks,0,4,176,7,FANMANS,506
,0,bloodhound,Jjustwolfie,0,12,86,14,Ban-dits,221
,3,ash,yvanci26,0,3,738,11,SJSU GOLD,1223
,0,gibraltar,TTF Muslim,0,12,0,14,Ban-dits,218
,0,wraith,EastKOV,0,12,67,14,Ban-dits,222
,1,gibraltar,Hamchoi408,1,3,1477,11,SJSU GOLD,1224
,0,wraith,CorruptedCloudx,0,14,247,8,SRC TNH,153
,0,bloodhound,Calico,1,3,600,11,SJSU GOLD,1223
,0,pathfinder,2fat2carry,0,9,1215,2,,1012
,0,valkyrie,IgneelFrost,0,9,579,2,,1012
,0,bloodhound,TTV CallMeKaZe,0,14,61,8,SRC TNH,119
,8,ash,lPirrus,2,5,1644,10,,1096
,2,gibraltar,zeroedxo,0,4,945,7,FANMANS,1190
,0,gibraltar,Motionmist,0,7,45,3,Deathbox Hunters,1052
,3,wraith,AlphaVied | Twitch,0,2,915,12,Age Difference,1250
,3,valkyrie,Jackson_RLP,0,6,853,13,Fart,1077
,0,wraith,Sassy,0,9,1113,2,,974
,0,valkyrie,ColdKillaC,0,7,640,3,Deathbox Hunters,1052
,1,bloodhound,NBN LF,1,11,281,6,,594
,1,gibraltar,Dojobear,0,2,1229,12,Age Difference,1250
,3,crypto,yinJah,8,5,1590,10,,1096
,0,wraith,FaZeHurryPooder,0,10,19,20,Tufts Esports,657
,0,valkyrie,SRC-CODIAC27TTV,0,14,0,8,SRC TNH,154
